wa_label,ons_label,name,subgroup,OA_2001,OA_2001_new,IN250,OUT250,IN500,OUT500,IN750,OUT750,IN1000,OUT1000
02BAGD,00BAGD0002,,7a3,02BAGD0002,E00017169,0,0,0,0,0,0,0,0
02AXFY,00AXFY0012,,2b1,02AXFY0012,E00014713,0,0,0,0,0,0,0,0
02BJGB,00BJGB0009,,2b2,02BJGB0009,E00022588,0,0,0,0,0,0,0,0
02AXFY,00AXFY0034,,5a1,02AXFY0034,E00014735,0,0,0,0,0,0,0,0
02AXGK,00AXGK0026,,2a2,02AXGK0026,E00015060,0,0,0,0,0,0,0,0
02AXGL,00AXGL0002,,2b2,02AXGL0002,E00015071,0,0,0,0,0,0,0,0
02AXFY,00AXFY0031,,7b1,02AXFY0031,E00014732,0,0,0,0,0,0,0,0
02ATGS,00ATGS0014,,2a2,02ATGS0014,E00013324,0,0,0,0,0,0,0,0
02ATGA,00ATGA0011,,7b2,02ATGA0011,E00012793,0,0,0,0,0,0,0,0
02AXGH,00AXGH0018,,7a3,02AXGH0018,E00014997,0,0,0,0,0,0,0,0
02BDGG,00BDGG0012,,7a2,02BDGG0012,E00019419,0,0,0,0,0,0,0,0
02AFGQ,00AFGQ0001,,4b2,02AFGQ0001,E00003644,0,0,0,0,0,0,0,0
02AJGC,00AJGC0027,,7b1,02AJGC0027,E00005992,0,0,0,0,0,0,0,0
02AHGQ,00AHGQ0012,,2a2,02AHGQ0012,E00005333,0,0,0,0,0,0,0,0
02BDGA,00BDGA0028,,2b2,02BDGA0028,E00019236,0,0,0,0,0,0,0,0
02ATGF,00ATGF0021,,7a2,02ATGF0021,E00012975,0,0,0,0,0,0,0,0
02ASGK,00ASGK0031,,5b3,02ASGK0031,E00012074,0,0,0,0,0,0,0,0
02BDGC,00BDGC0018,,6d2,02BDGC0018,E00019290,0,0,0,0,0,0,0,0
02BDGL,00BDGL0019,,2a1,02BDGL0019,E00019568,0,0,0,0,0,0,0,0
02BDFY,00BDFY0003,,2b2,02BDFY0003,E00019144,0,0,0,0,0,0,0,0
02BDGG,00BDGG0019,,7a2,02BDGG0019,E00019426,0,0,0,0,0,0,0,0
02BDGC,00BDGC0021,,7a2,02BDGC0021,E00019293,0,0,0,0,0,0,0,0
02ASGX,00ASGX0022,,2b1,02ASGX0022,E00012441,0,0,0,0,0,0,0,0
02ATGJ,00ATGJ0029,,7a3,02ATGJ0029,E00013082,0,0,0,0,0,0,0,0
02BDGB,00BDGB0012,,6d1,02BDGB0012,E00019252,0,0,0,0,0,0,0,0
02AHGX,00AHGX0014,,6d1,02AHGX0014,E00005586,0,0,0,0,0,0,0,0
02BDGB,00BDGB0001,,5b3,02BDGB0001,E00019241,0,0,0,0,0,0,0,0
02BJGC,00BJGC0017,,2b2,02BJGC0017,E00022642,0,0,0,0,0,0,0,0
02BDFY,00BDFY0013,,2b2,02BDFY0013,E00019154,0,0,0,0,0,0,0,0
02AXFX,00AXFX0017,,7a3,02AXFX0017,E00014691,0,0,0,0,0,0,0,0
02AXFX,00AXFX0012,,6c1,02AXFX0012,E00014686,0,0,0,0,0,0,0,0
02AXGL,00AXGL0010,,2a1,02AXGL0010,E00015079,0,0,0,0,0,0,0,0
02AXGL,00AXGL0036,,2a2,02AXGL0036,E00015105,0,0,0,0,0,0,0,0
02BBGE,00BBGE0019,,7b2,02BBGE0019,E00017740,0,0,0,0,0,0,0,0
02AXGL,00AXGL0033,,2a2,02AXGL0033,E00015102,0,0,0,0,0,0,0,0
02AXGL,00AXGL0037,,2a1,02AXGL0037,E00015106,0,0,0,0,0,0,0,0
02AXGK,00AXGK0031,,2a1,02AXGK0031,E00015065,0,0,0,0,0,0,0,0
02AXFY,00AXFY0032,,2a2,02AXFY0032,E00014733,0,0,0,0,0,0,0,0
02BDFY,00BDFY0014,,2b2,02BDFY0014,E00019155,0,0,0,0,0,0,0,0
02BDGL,00BDGL0035,,2b2,02BDGL0035,E00019584,0,0,0,0,0,0,0,0
02BDFY,00BDFY0016,,2b1,02BDFY0016,E00019157,0,0,0,0,0,0,0,0
02BDGL,00BDGL0014,,2b1,02BDGL0014,E00019563,0,0,0,0,0,0,0,0
02BDGL,00BDGL0007,,2b2,02BDGL0007,E00019556,0,0,0,0,0,0,0,0
02BAFZ,00BAFZ0011,,7b1,02BAFZ0011,E00017046,0,0,0,0,0,0,0,0
02BJGF,00BJGF0001,,2a2,02BJGF0001,E00022768,0,0,0,0,0,0,0,0
02AXGK,00AXGK0012,,2a2,02AXGK0012,E00015046,0,0,0,0,0,0,0,0
02BJGL,00BJGL0031,,7b2,02BJGL0031,E00023031,0,0,0,0,0,0,0,0
02AXGF,00AXGF0013,,2b2,02AXGF0013,E00014930,0,0,0,0,0,0,0,0
