OA_2001_old,OA_2001,IN500Cent,OUT500Cent,IN750Cent,OUT750Cent,IN1000Cent,OUT1000Cent
00AHGQ0031,E00005352,0,0,0,0,0,0
00AHGQ0035,E00005356,0,0,0,0,0,0
00AHGQ0033,E00005354,0,0,0,0,0,0
00AHGQ0007,E00005328,0,0,0,0,0,0
00AYGR0039,E00015928,0,0,0,0,0,0
00AHGK0031,E00005124,0,0,0,0,0,0
00AHGK0026,E00005119,0,0,0,0,0,0
00AYGR0028,E00015917,0,0,0,0,0,0
00AFGQ0007,E00003650,0,0,0,0,0,0
00AFGM0028,E00003520,0,0,0,0,0,0
00ABGL0023,E00000473,0,0,0,0,0,0
00BJGU0020,E00023386,0,0,0,0,0,0
00BCFY0017,E00018353,0,0,0,0,0,0
00ARGQ0004,E00011695,0,0,0,0,0,0
00ARGW0024,E00011924,0,0,0,0,0,0
00ARGW0011,E00011911,0,0,0,0,0,0
00BJGC0040,E00022665,0,0,0,0,0,0
00AHGJ0039,E00005093,0,0,0,0,0,0
00BJGC0019,E00022644,0,0,0,0,0,0
00AAFQ0008,E00000017,0,0,1,0,1,0
00AHGQ0011,E00005332,0,0,0,0,0,0
00BDGD0027,E00019332,0,0,0,0,0,0
00AHGX0020,E00005592,0,0,0,0,0,0
00AFGE0027,E00003181,0,0,0,0,0,0
00BJGL0029,E00023029,0,0,0,0,0,0
00AFGE0029,E00003183,0,0,0,0,0,0
00AFGQ0011,E00003654,0,0,0,0,0,0
00ASGP0029,E00012202,0,0,0,0,0,0
00ATFY0008,E00012720,0,0,0,0,0,0
00ASGX0030,E00012449,0,0,0,0,0,0
00ASGP0020,E00012193,0,0,0,0,0,0
00ASGR0017,E00012261,0,0,0,0,0,0
00ASGQ0029,E00012237,0,0,0,0,0,0
00ASGX0001,E00012420,0,0,0,0,0,0
00AJGT0005,E00006601,0,0,0,0,0,0
00ASGX0021,E00012440,0,0,0,0,0,0
00ASGT0022,E00012332,0,0,0,0,0,0
00ASGN0004,E00012152,0,0,0,0,0,0
00AXGC0023,E00014850,0,0,0,0,0,0
00AXGM0009,E00015116,0,0,0,0,0,0
00BDGA0031,E00019239,0,0,0,0,0,0
00BDFZ0007,E00019181,0,0,0,0,0,0
00BFGG0004,E00020667,0,0,0,0,0,0
00BFGC0006,E00020536,0,0,0,0,0,0
00BAGA0008,E00017075,0,0,0,0,0,0
00AYGF0002,E00015436,0,0,0,0,0,0
00ATGM0016,E00013165,0,0,0,0,0,0
00BDFZ0026,E00019200,0,0,0,0,0,0
00AYGF0006,E00015440,0,0,0,0,0,0
00AYGF0017,E00015451,0,0,0,0,0,0
00BDFX0003,E00019112,0,0,0,0,0,0
00ATGR0026,E00013303,0,0,0,0,0,0
00AJGE0009,E00006065,0,0,0,0,0,0
00BDGE0015,E00019350,0,0,0,0,0,0
00BKGH0011,E00023667,0,0,0,0,0,0
00AFGQ0003,E00003646,0,0,0,0,0,0
00BKGQ0020,E00023945,0,0,0,0,0,0
00AFGF0002,E00003186,0,0,0,0,0,0
00AHGX0022,E00005594,0,0,0,0,0,0
00AHGP0021,E00005298,0,0,0,0,0,0
00AHGP0003,E00005280,0,0,0,0,0,0
00AHGP0020,E00005297,0,0,0,0,0,0
00AFGS0019,E00003725,0,0,0,0,0,0
00AYGF0010,E00015444,0,0,0,0,0,0
00AFGZ0023,E00004013,0,0,0,0,0,0
00ATGE0012,E00012931,0,0,0,0,0,0
00AYGF0049,E00015483,0,0,0,0,0,0
00AFGQ0002,E00003645,0,0,0,0,0,0
00AFGQ0005,E00003648,0,0,0,0,0,0
00AFGH0024,E00003308,0,0,0,0,0,0
00AFGQ0015,E00003658,0,0,0,0,0,0
00BJGL0025,E00023025,0,0,0,0,0,0
00ATGL0018,E00013133,0,0,0,0,0,0
00BJGL0028,E00023028,0,0,0,0,0,0
00BJGL0024,E00023024,0,0,0,0,0,0
00AJGJ0015,E00006240,0,0,0,0,0,0
00AFGH0026,E00003310,0,0,0,0,0,0
00AFGH0007,E00003291,0,0,0,0,0,0
00AFGJ0025,E00003353,0,0,0,0,0,0
00AFGM0050,E00003542,0,0,0,0,0,0
00ADGJ0026,E00001892,0,0,0,0,0,0
00ALHB0031,E00008308,0,0,0,0,0,0
00BBGT0012,E00018207,0,0,0,0,0,0
00BBGT0001,E00018196,0,0,0,0,0,0
00AJGD0008,E00006018,0,0,0,0,0,0
00BBGB0041,E00017643,0,0,0,0,0,0
00ADGX0026,E00002300,0,0,0,0,0,0
00ADGX0022,E00002296,0,0,0,0,0,0
00AJGD0006,E00006016,0,0,0,0,0,0
00ADGM0013,E00001984,0,0,0,0,0,0
00AJGQ0023,E00006496,0,0,0,0,0,0
00AJGD0017,E00006027,0,0,0,0,0,0
00AEHA0002,E00002884,0,0,0,0,0,0
00AQGD0017,E00010743,0,0,0,0,0,0
00AXGB0017,E00014817,0,0,0,0,0,0
00AQFZ0027,E00010622,0,0,0,0,0,0
00ACGE0005,E00000926,0,0,0,0,0,0
00ACGQ0027,E00001422,0,0,0,0,0,0
00ACGL0049,E00001254,0,0,0,0,0,0
00ACGM0010,E00001264,0,0,0,0,0,0
00BJGL0018,E00023018,0,0,0,0,0,0
00BJGL0019,E00023019,0,0,0,0,0,0
00ACGP0019,E00001368,0,0,0,0,0,0
00ACGP0031,E00001380,0,0,0,0,0,0
00BAGF0023,E00017254,0,0,0,0,0,0
00AKGP0018,E00007051,0,0,0,0,0,0
00BAGA0013,E00017080,0,0,0,0,0,0
00AKGW0023,E00007315,0,0,0,0,0,0
00BBGU0011,E00018228,0,0,0,0,0,0
00ATFY0020,E00012732,0,0,0,0,0,0
00BBGB0025,E00017627,0,0,0,0,0,0
00ABGL0014,E00000464,0,0,0,0,0,0
00ABGK0015,E00000434,0,0,0,0,0,0
00ARGT0002,E00011821,0,0,0,0,0,0
00ABGB0031,E00000197,0,0,0,0,0,0
00BAGC0032,E00017167,0,0,0,0,0,0
00BCFY0005,E00018341,0,0,0,0,0,0
00ATGE0026,E00012945,0,0,0,0,0,0
00ATGE0017,E00012936,0,0,0,0,0,0
00AKGQ0012,E00007085,0,0,0,0,0,0
